StudyFolder, ScenarioName, Did the driver signal, How does vehicle speed change?                     , How does pedestrian speed change?                   , Who has the right of way?（Who reached the intersection first?）, Who went first？   , Did the pedestrian use hand gestures?, Did the driver use hand gestures?
PedNYC17   ,           21, Yes                  , Slowing down                                       , Speeding up                                         , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC18   ,            3,                      ,                                                    ,                                                     ,                                                                 ,                    ,                                      , 
PedNYC18   ,            7, No                   , Not moving                                         , No change                                           , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC18   ,           12, Yes                  , Slowing down                                       , No change                                           , Both                                                            , Driver             , No                                   , 
PedNYC18   ,           15,                      ,                                                    ,                                                     ,                                                                 ,                    ,                                      , 
PedNYC18   ,           16,                      ,                                                    ,                                                     , Both                                                            , Driver             , No                                   , 
PedNYC18   ,           21, Yes                  , Slowing down                                       , No change                                           , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC19   ,            3, Yes                  , Slowing down                                       , No change                                           , Driver                                                          , Driver             , No                                   , 
PedNYC19   ,            7, No                   , No change                                          , No change                                           , Driver                                                          , Driver             , No                                   , 
PedNYC19   ,           12, Yes                  , No change                                          , Not walking                                         , Both                                                            , Driver             , No                                   , 
PedNYC19   ,           15, No                   , Slowing down                                       , Slowing down                                        , Neither                                                         , Driver             , No                                   , 
PedNYC19   ,           16, No                   , No change                                          , No change                                           , Both                                                            , Driver             , No                                   , 
PedNYC19   ,           21, Yes                  , Slowing down                                       , No change                                           , Both                                                            , Driver             , No                                   , 
PedNYC20   ,            3,                      ,                                                    ,                                                     ,                                                                 ,                    ,                                      , 
PedNYC20   ,            7, No                   ,                                                    ,                                                     ,                                                                 ,                    ,                                      , 
PedNYC20   ,           12, Yes                  , Slowing down                                       , No change                                           , Both                                                            , Driver             , No                                   , 
PedNYC20   ,           15, Yes                  , Slowing down                                       , Slowing down                                        , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC20   ,           16, No                   , No change                                          , No change                                           , Both                                                            , Driver             , No                                   , 
PedNYC20   ,           21, Yes                  , Slowing down                                       , Slowing down                                        , Both                                                            , Driver             , Yes                                  , 
PedNYC21   ,            3, Yes                  , Slowing down                                       , Speeding up                                         , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC21   ,            7, No                   , Slowing down                                       , No change                                           , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC21   ,           12, Yes                  , Slowing down                                       , No change                                           , Both                                                            , Pedestrian         , No                                   , 
PedNYC21   ,           15,                      ,                                                    ,                                                     ,                                                                 ,                    ,                                      , 
PedNYC21   ,           16,                      ,                                                    ,                                                     ,                                                                 ,                    ,                                      , 
PedNYC21   ,           21, Yes                  , Slowing down                                       , No change                                           , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC22   ,            3, Yes                  , Slowing down                                       , Speeding up                                         , Pedestrian                                                      , Pedestrian         , Yes                                  , 
PedNYC22   ,            7, No                   , Slowing down                                       , Slowing down                                        , Pedestrian                                                      , Pedestrian         , Yes                                  , 
PedNYC22   ,           12, Yes                  , Slowing down                                       , Slowing down                                        , Both                                                            , Driver             , No                                   , 
PedNYC22   ,           15, No                   , No change                                          , No change                                           , Neither                                                         , Driver             , No                                   , 
PedNYC22   ,           16, No                   , No change                                          , No change                                           , Both                                                            , Driver             , No                                   , 
PedNYC22   ,           21, Yes                  , Slowing down                                       , Slowing down                                        , Pedestrian                                                      , Driver             , No                                   , 
